#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WELCOME_HEADER;Welcome to Crusader Kings II;Bienvenue à Crusader Kings II;Willkommen zu Crusader Kings II;;Bienvenido a Crusader Kings II;;;;;;;;;x
EVTOPTA_CM_6327;I will find those behind this!;Je trouverai ceux qui ont commandité mon assassinat !;Ich kriege die, die dahinter stecken!;;¡Averiguaré quién está detrás de esto!;;;;;;;;;x
EVTDESC_CM_6328;It seems the guard we bribed failed to kill [From.GetTitledName]. The instigators of the plot were not revealed, however.;Il semble que le garde que nous avons soudoyé n'a pas réussi à tuer [From.GetTitledName]. L'identité des instigateurs du complot demeure inconnue, toutefois.;Es scheint, dass der von uns bestochene Wachsoldat [From.GetTitledName] nicht töten konnte. Die Auftraggeber des Anschlags aber bleiben unbekannt.;;Parece que el guardia que sobornamos no ha logrado matar a [From.GetTitledName]. De todos modos, los instigadores del complot no han sido revelados.;;;;;;;;;x
EVTOPTA_CM_6328;We will get [From.GetHerHim] next time.;Nous finirons par avoir sa peau.;Das nächste Mal kriegen wir [From.GetHerHim].;;La próxima vez [From.GetHerHim] atraparemos.;;;;;;;;;x
EVTDESC_CM_63299;It seems the guard we bribed failed to kill [From.GetTitledName]. To make things worse, he was caught and revealed who ordered the murder.;Il semble que le garde que nous avons soudoyé n'a pas réussi à tuer [From.GetTitledName]. Et pour ne rien arranger, le garde a été arrêté et a dévoilé le nom des conspirateurs.;Es scheint, dass der von uns bestochene Wachsoldat [From.GetTitledName] nicht töten konnte. Schlimmer noch: Er wurde gefasst und hat den Auftraggeber des Anschlags genannt.;;Parece que el guardia que sobornamos no ha logrado matar a [From.GetTitledName]. Para empeorar las cosas, lo atraparon y reveló quién había ordenado el asesinato.;;;;;;;;;x
EVTOPTA_CM_63299;Curses!;Malédiction !;Verflucht!;;¡Maldición!;;;;;;;;;x

#ogier_arrives;Ogier the Dane arrives at your court.;Ogier le Danois se présente à votre cour.;Orgier der Däne trifft an Eurem Hof ein.;;Ogier el Danés llega a tu corte.;;;;;;;;;x
#roland_arrives;Roland arrives at your court.;Roland se présente à votre cour.;Roland trifft an Eurem Hof ein.;;Rolando llega a tu corte.;;;;;;;;x

EVTDESC_CM_6330;My [Root.GetLordLady], an opportunity has arisen in your plot to rid yourself of [Root.PlotTarget.GetTitledName]. We have found a strange snake charmer who claims he has trained his little 'friends' to seek out and bite a person with deadly venom. How shall we proceed, my [Root.GetLordLady]?;Notre [Root.GetLordLady], sachez que l'opportunité de vous débarrasser de [Root.PlotTarget.GetTitledName] est sur le point de se présenter. Nous avons déniché un mystérieux charmeur de serpent qui prétend avoir dressé ses petits compagnons à trouver une personne et lui injecter leur venin mortel. Comment souhaitez-vous procéder, notre [Root.GetLordLady] ?;Mein(e) [Root.GetLordLady], es hat sich für Euren Plan, [Root.PlotTarget.GetTitledName] loszuwerden, eine Möglichkeit ergeben. Wir haben einen seltsamen Schlangenbeschwörer gefunden, der behauptet, seine kleinen 'Freunde' darauf abgerichtet zu haben, lautlos zu einer Person zu kriechen um sie mit einem Giftbiss zu töten. Wie sollen wir verfahren?;;Mi [Root.GetLordLady], en su complot ha surgido la oportunidad de acabar con [Root.PlotTarget.GetTitledName]. Hemos encontrado a un extraño encantador de serpientes que sostiene haber entrenado a sus “amiguitas” para tratar de localizar y morder a una persona con su veneno mortal. ¿Cómo vamos a proceder, mi [Root.GetLordLady]?;;;;;;;;;x
EVTOPTA_CM_6330;Hire him to kill [Root.PlotTarget.GetTitledFirstName].;Engagez-le pour tuer [Root.PlotTarget.GetTitledFirstName].;Engagiert ihn, um [Root.PlotTarget.GetTitledFirstName] zu töten.;;Contrátale para matar a [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;x
EVTOPTB_CM_6330;Have him send all his snakes.;Ordonnez-lui d'envoyer tous ses serpents.;Er soll alle seine Schlangen schicken.;;Le ha mandado todas sus serpientes.;;;;;;;;;x
EVTOPTC_CM_6330;We should wait.;Attendons encore un peu.;Wir sollten warten.;;Deberíamos esperar.;;;;;;;;;x
EVTDESC_CM_6331;It seems as though [From.GetTitledName] has found an opportunity to hire a strange snake charmer who trains his poisonous snakes to kill people. This presents us with a chance to kill [From.PlotTarget.GetTitledName].;Il semble que [From.GetTitledName] a trouvé le moyen d'engager un étrange charmeur de serpent qui dresse ses bestioles venimeuses à tuer. Il pourrait nous aider à mettre notre plan à exécution et tuer [From.PlotTarget.GetTitledName].;Es scheint, dass [From.GetTitledName] einen seltsamen Schlangenbeschwörer aufgetan hat, der seine giftigen Reptilien zum Töten von Menschen abgerichtet hat. Das ist unsere Chance, [From.PlotTarget.GetTitledName] zu töten.;;Parece que [From.GetTitledName] ha encontrado la oportunidad para contratar a un extraño encantador de serpientes venenosas que las entrena para matar a gente. Esto nos brinda la oportunidad de matar a [From.PlotTarget.GetTitledName].;;;;;;;;;x
EVTOPTA_CM_6331;Excellent!;Parfait !;Ausgezeichnet!;;¡Excelente!;;;;;;;;;x
EVTTITLE_CM_6333;The Slithering Death;L'ondulation mortelle;Der schlängelnde Tod;;La Muerte Deslizante;;;;;;;;;x
EVTDESC_CM_6333;You sleep soundly in your hiding place, dreaming of freer and happier times. Suddenly you are disturbed by something... cold and slippery... it slithers up under your blanket. Ouch! A pain in your hand... suddenly you are wide awake. You see something small but elongated dropping onto the floor, is it a rope? The pain in your hand spreads, you find it hard to breathe... why is it suddenly so cold...?;Vous dormez sur vos deux oreilles dans votre cachette, rêvant de liberté et de jours heureux, quand quelque chose perturbe votre sommeil… Une chose froide et visqueuse… Qui se glisse sous votre couverture. Aïe ! La douleur qui vrille votre main finit de vous réveiller. Vous apercevez alors un objet long et étroit tomber du lit. Est-ce une corde ? La douleur dans votre main s'étend, vous avez le souffle court... Pourquoi avez-vous si froid, soudain ?;Sie schlafen friedlich in Ihrem Versteck und träumen von glücklicheren Zeiten. Plötzlich werdet Ihr von etwas gestört... es ist kalt und glatt... und gleitet lautlos unter Eure Decke. Aua! Ein stechender Schmerz in Eurer Hand... Plötzlich seid Ihr hellwach. Ihr sehr etwas kleines, langes zu Boden fallen, ist es ein Seil? Der Schmerz in Eurer Hand breitet sich aus, das Atmen fällt Euch schwer... warum ist es plötzlich so kalt...?;;Estás durmiendo profundamente en tu escondrijo, soñando en tiempos más felices y más seguros. De repente hay algo que te desvela... frío y escurridizo... se desliza por debajo de tu manta. ¡Ay! Sientes dolor en tu mano... te despiertas de golpe. Ves algo pequeño pero alargado cayendo al suelo, ¿es una cuerda? El dolor en tu mano se expande, te cuesta respirar... ¿por qué de repente hace tanto frío...?;;;;;;;;;x
EVTOPTA_CM_6333;Aaargh...;Aaargh...;Aaargh...;;Aaaah...;;;;;;;;;x
EVTDESC_CM_6334;News reach you that the plot to murder [From.GetTitledName] has met with success. [From.GetTitledName] was bitten by a poisoned snake and died. The plotters behind it have not been revealed.;On vous apprend que le complot pour tuer [From.GetTitledName] a été un franc succès. [From.GetTitledName] a péri des suites d'une morsure de serpent très venimeux. L'identité des conspirateurs demeure inconnue.;Euch erreicht die Nachricht, dass Euer Plan, [From.GetTitledName] zu ermorden, erfolgreich war. [From.GetTitledName] wurde von einer Giftschlange gebissen und ist gestorben. Die Auftraggeber des Mordes sind unbekannt.;;Te llegan noticias de que el complot para matar a [From.GetTitledName] ha resultado exitoso. [From.GetTitledName] ha sido mordido por una serpiente venenosa y ha muerto. No se han revelado los nombres de los conspiradores. ;;;;;;;;;x
EVTOPTA_CM_6334;Excellent!;Parfait !;Ausgezeichnet!;;¡Excelente!;;;;;;;;;x
EVTDESC_CM_6336;News reach you that the plot to murder [From.GetTitledName] has met with success. [From.GetTitledName] was bitten by a poisoned snake and died. Unfortunately, the snake charmer was caught and revealed who ordered the murder.;On vous apprend que le complot pour tuer [From.GetTitledName] a été un franc succès. [From.GetTitledName] a péri des suites d'une morsure de serpent très venimeux. Malheureusement, le charmeur de serpent a été arrêté et a dévoilé l'identité du commanditaire.;Euch erreicht die Nachricht, dass Euer Plan, [From.GetTitledName] zu ermorden, erfolgreich war.  [From.GetTitledName] wurde von einer Giftschlange gebissen und ist gestorben. Unglücklicherweise wurde der Schlangenbeschwörer gefasst und hat seinen Auftraggeber verraten.;;Te llegan noticias de que el complot para matar a [From.GetTitledName] ha resultado exitoso. [From.GetTitledName] ha sido mordido por una serpiente venenosa y ha muerto. Desafortunadamente, arrestaron al encantador de serpientes y éste reveló quién dio la orden de matar.;;;;;;;;;x
EVTOPTA_CM_6336;I see.;C'est fâcheux…;Verstehe.;;Ya veo.;;;;;;;;;x
EVTDESC_CM_6337;You sleep soundly in your hiding place, dreaming of safer and happier times. Suddenly you are disturbed by something... cold and slippery... it slithers up under your blanket. You are instantly wide awake - something is wrong! You grab in the darkness and find you have something cold and scaly in your hand, twisting frenetically. You carefully light the lamp and find you are holding a small snake just below the head. Venom is dripping from its fangs as it snaps its jaws against you. You're sure this beast is not here by happenstance!;Vous dormez sur vos deux oreilles dans votre cachette, rêvant de liberté et de jours heureux, quand quelque chose perturbe votre sommeil… Une chose froide et visqueuse… Qui se glisse sous votre couverture. Vous vous réveillez brutalement, quelque chose d'anormal est en train de se produire ! Il fait noir mais vous vous emparez de la chose pleine d'écailles s'agitant frénétiquement. Vous allumez avec précaution une bougie et découvrez que vous tenez un petit serpent par la tête. Du venin coule de ses crocs, ses mâchoires sont grandes ouvertes. Ce reptile ne s'est pas retrouvé là par hasard et vous remerciez [Root.Religion.RandomGodName] de vous avoir laissé la vie sauve.;Ihr schlaft friedlich in Eurem Versteck und träumt von sichereren und glücklicheren Zeiten. Plötzlich werdet Ihr von etwas gestört... es ist kalt und glatt... und gleitet lautlos unter Eure Decke. Ihr seid sofort hellwach - irgendwas stimmt nicht! Ihr greift in die Dunkelheit und habt etwas kaltes, schuppiges in der Hand, das sich aufgeregt windet. Ihr entzündet vorsichtig das Licht und seht, dass Ihr eine kleine Schlange direkt hinter dem Kopf gefasst haben. Gift tropft aus ihren Zähnen, während sie nach Euch schnappt. Dieses Tier ist gewiss nicht zufällig gekommen und Ihr dankt [Root.Religion.RandomGodName], dass Ihr noch einmal davongekommen sind.;;Estás durmiendo profundamente en tu escondrijo, soñando en tiempos más felices y más seguros. De repente hay algo que te desvela... frío y escurridizo... se desliza por debajo de tu manta. Te despiertas al instante ¡algo va mal! Tratas de ver algo en la oscuridad y te das cuenta de que tienes algo frío y escamoso en tu mano, retorciéndose frenéticamente. Cuidadosamente enciendes la lámpara y descubres que tienes una pequeña serpiente agarrada justo por debajo de la cabeza. El veneno está chorreando de sus colmillos mientras intenta morderte. Estás seguro de que este animal no está aquí por casualidad, y das gracias a [Root.Religion.RandomGodName] por haberte escapado por los pelos.;;;;;;;;;x
EVTOPTA_CM_6337;I will find those behind this!;Je trouverai ceux qui ont commandité mon assassinat !;Ich kriege die, die dahinter stecken!;;¡Averiguaré quién está detrás de esto!;;;;;;;;;x
EVTDESC_CM_6338;It seems the snake charmer failed to kill [From.GetTitledName]. The instigators of the plot were not revealed, however.;Il semble que le charmeur de serpent n'a pas réussi à tuer [From.GetTitledName]. L'identité des instigateurs du complot demeure inconnue, toutefois.;Es scheint, dass der Schlangenbeschwörer es nicht geschafft hat, [From.GetTitledName] zu töten. Die Auftraggeber des Anschlags aber bleiben unbekannt.;;Parece que el guardia que encantador de serpientes no ha logrado matar a [From.GetTitledName]. De todos modos, los instigadores del complot no han sido revelados.;;;;;;;;;x
EVTOPTA_CM_6338;We will get [From.GetHerHim] next time.;Nous finirons par avoir sa peau.;Das nächste Mal kriegen wir [From.GetHerHim].;;La próxima vez [From.GetHerHim] atraparemos.;;;;;;;;;x
EVTDESC_CM_63399;It seems the snake charmer failed to kill [From.GetTitledName]. To make things worse, he was caught and revealed who ordered the murder.;Il semble que le charmeur de serpent n'a pas réussi à tuer [From.GetTitledName]. Et pour ne rien arranger, il a été arrêté et a dévoilé le nom des conspirateurs.;Es scheint, dass der Schlangenbeschwörer es nicht geschafft hat, [From.GetTitledName] zu töten. Schlimmer noch: Er wurde gefasst und hat den Auftraggeber des Anschlags genannt.;;Parece que el encantador de serpientes no ha logrado matar a [From.GetTitledName]. Para empeorar las cosas, lo atraparon y reveló quién había ordenado el asesinato.;;;;;;;;;x
EVTOPTA_CM_63399;Curses!;Malédiction !;Verflucht!;;¡Maldición!;;;;;;;;;x
EVTDESC_CM_6340;My [Root.GetLordLady], an opportunity has arisen in your plot to rid yourself of [Root.PlotTarget.GetTitledName]. We have found a disloyal servant who says she is willing to end her [Root.PlotTarget.GetLordLady]'s life. How shall we proceed, my [Root.GetLordLady]?;Notre [Root.GetLordLady], sachez que l'opportunité de vous débarrasser de [Root.PlotTarget.GetTitledName] est sur le point de se présenter. Nous avons rencontré une femme de chambre déloyale qui prétend vouloir mettre fin à l'existence de son infâme [Root.PlotTarget.GetLordLady]. Comment souhaitez-vous procéder, notre [Root.GetLordLady] ?;Mein(e) [Root.GetLordLady], es hat sich für Euren Plan, [Root.PlotTarget.GetTitledName] loszuwerden, eine Möglichkeit ergeben. Wir haben eine illoyale Kammerzofe gefunden, die bereit ist, dem Leben von [Root.PlotTarget.GetLordLady] ein Ende zu setzen. Wie sollen wir verfahren?;;Mi [Root.GetLordLady], en su complot ha surgido la oportunidad de acabar con [Root.PlotTarget.GetTitledName]. Hemos encontrado una doncella que dice querer acabar con la vida de su [Root.PlotTarget.GetLordLady]. ¿Cómo vamos a proceder, mi [Root.GetLordLady]?;;;;;;;;;x
EVTOPTA_CM_6340;Pay her to kill [Root.PlotTarget.GetTitledFirstName].;Payez-la pour tuer [Root.PlotTarget.GetTitledFirstName].;Bezahlt sie, um [Root.PlotTarget.GetTitledFirstName] zu töten.;;Pagarle para que mate a [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;x
EVTOPTB_CM_6340;Pay her and the guards.;Payez la femme de chambre et les gardes.;Bezahlt sie und die Wachen.;;Pagarle a ella y a los guardias.;;;;;;;;;x
EVTOPTC_CM_6340;We should wait.;Attendons encore un peu.;Wir sollten warten.;;Deberíamos esperar.;;;;;;;;;x
EVTDESC_CM_6341;It seems as though [From.GetTitledName] has found an opportunity to hire a disloyal servant with access to [Root.PlotTarget.GetTitledName]. This presents us with a chance to kill [From.PlotTarget.GetHerHim].;Il semble que [From.GetTitledName] a eu l'opportunité d'engager une femme de chambre déloyale proche de [Root.PlotTarget.GetTitledName]. Elle pourrait nous aider à mettre notre plan à exécution et l'occire.;Es scheint, dass [From.GetTitledName] eine illoyale Kammerzofe engagieren kann, die Zugang zu [Root.PlotTarget.GetTitledName] hat. Das gibt uns die Chance, [From.PlotTarget.GetHerHim] zu töten.;;Parece que [From.GetTitledName] ha encontrado la oportunidad de contratar a una doncella desleal que tiene acceso a [Root.PlotTarget.GetTitledName]. Esto se nos presenta como una oportunidad para matar a [From.PlotTarget.GetHerHim].;;;;;;;;;x
EVTOPTA_CM_6341;Excellent!;Parfait !;Ausgezeichnet!;;¡Excelente!;;;;;;;;;x
EVTTITLE_CM_6343;The Unkind Maid;Unue femme de chambre perfide;Das unwirsche Magd;;La Doncella Cruel;;;;;;;;;x
EVTDESC_CM_6343;Here you lie, nothing happening, nothing to look at. Why have they put you here? You would rather be out in the sun. Why does no one listen when you can't speak? Ah, there she is... what are you doing with that rope... nurse?;Vous êtes sur votre lit et vous vous ennuyez à mourir. Pourquoi donc vous oblige-t-on à rester ici ? Vous seriez bien mieux au soleil. Pourquoi ne vous écoute-t-on jamais ? Femme de chambre ! Femme de chambre ! Ah, vous voilà… Mais, que faites-vous avec cette corde ?;Hier liegt Ihr, nichts passiert, nichts zum Anschauen. Warum haben sie Euch hierher gebracht? Ihr würdet lieber draußen in der Sonne liegen. Warum hört niemand zu, wenn Ihr nicht sprechen könnt? Magd! Magd! Ah, da bis du ja. Was machst du mit dem Strick da... Magd?;;Estás aquí tumbado, no sucede nada, no hay nada qué mirar. ¿Por qué te habrán traído aquí? Preferirías estar fuera y que te diera el sol. ¿Por qué no hay nadie que escuche cuando no puedes hablar? ¡Enfermera! ¡Enfermera! Ah, estás ahí... ¿qué estás haciendo con esa cuerda?... ¿Enfermera?;;;;;;;;;x
EVTOPTA_CM_6343;Aaargh...;Aaargh...;Aaargh...;;Aaaah...;;;;;;;;;x
EVTDESC_CM_6344;News reach you that the plot to murder [From.GetTitledName] has met with success. [From.GetTitledName] was strangled in [From.GetHerHis] bed by [From.GetHerHis] servant. The plotters behind it have not been revealed.;On vous apprend que le complot pour tuer [From.GetTitledName] a été un franc succès. [From.GetTitledName] a péri dans son lit, suite à un acte de strangulation perpétré par sa femme de chambre. L'identité des conspirateurs demeure inconnue.;Euch erreicht die Nachricht, dass Euer Plan, [From.GetTitledName] zu ermorden, erfolgreich war. [From.GetTitledName] wurde in [From.GetHerHis] Bett von [From.GetHerHis] Kammerzofe stranguliert. Die Auftraggeber des Mordes sind unbekannt.;;Te llegan noticias de que el complot para matar a [From.GetTitledName] ha resultado exitoso. [From.GetTitledName] fue ahogado en [From.GetHerHis] propia cama por [From.GetHerHis] doncella. No se han revelado los nombres de los conspiradores. ;;;;;;;;;x
EVTOPTA_CM_6344;Excellent!;Parfait !;Ausgezeichnet!;;¡Excelente!;;;;;;;;;x
EVTDESC_CM_6346;News reach you that the plot to murder [From.GetTitledName] has met with success. [From.GetTitledName] was strangled in [From.GetHerHis] bed by [From.GetHerHis] servant. Unfortunately, the snake charmer was caught and revealed who ordered the murder.;On vous apprend que le complot pour tuer [From.GetTitledName] a été un franc succès. [From.GetTitledName] a péri dans son lit, suite à un acte de strangulation perpétré par sa femme de chambre. Malheureusement, la femme de chambre a été arrêtée et a dévoilé l'identité du commanditaire.;Euch erreicht die Nachricht, dass Euer Plan, [From.GetTitledName] zu ermorden, erfolgreich war. [From.GetTitledName] wurde in [From.GetHerHis] Bett von [From.GetHerHis] Kammerzofe stranguliert. Bedauerlicherweise wurde die Magd gefangen genommen und verriet die Auftraggeber.;;Te llegan noticias de que el complot para matar a [From.GetTitledName] ha resultado exitoso. [From.GetTitledName] fue ahogado en [From.GetHerHis] propia cama por [From.GetHerHis] doncella. Desafortunadamente, arrestaron a la doncella y ésta reveló quién había dado la orden de matar.;;;;;;;;;x
EVTOPTA_CM_6346;I see.;C'est fâcheux…;Verstehe.;;Ya veo.;;;;;;;;;x
EVTDESC_CM_6347;Here you lie, nothing happening, nothing to look at. Why have they put you here? You would rather be out in the sun. Why does no one listen when you can't speak? Ah, there she is... what are you doing with that rope... yes, give it to me... no, why did the guard kill the nurse?;Vous êtes sur votre lit et vous vous ennuyez à mourir. Pourquoi donc vous oblige-t-on à rester ici ? Vous seriez bien mieux au soleil. Pourquoi ne vous écoute-t-on jamais ? Femme de chambre ! Femme de chambre ! Ah, vous voilà… Mais, que faites-vous avec cette corde ? Donnez-la-moi, je vous prie. Pourquoi donc le garde a-t-il tué la femme de chambre ?;Hier liegt Ihr, nichts passiert, nichts zum Anschauen. Warum haben sie Euch hierher gebracht? Ihr würdet lieber draußen in der Sonne liegen. Warum hört niemand zu, wenn Ihr nicht sprechen könnt? Magd! Magd! Ah, da bis du ja. Was machst du mit dem Strick da.. ja, gib ihn mir... nein, warum hat die Wache die Magd getötet?;;Estás aquí tumbado, no sucede nada, no hay nada qué mirar. ¿Por qué te habrán traído aquí? Preferirías estar fuera y que te diera el sol. ¿Por qué no hay nadie que escuche cuando no puedes hablar? ¡Enfermera! ¡Enfermera! Ah, estás ahí... ¿qué estás haciendo con esa cuerda?... Dámela... No, ¿Por qué el guardia ha matado a la enfermera?;;;;;;;;;x
EVTOPTA_CM_6347;I don't understand!;C'est à n'y rien comprendre !;Ich verstehe das nicht!;;¡No lo entiendo!;;;;;;;;;x
EVTDESC_CM_6348;It seems the servant failed to kill [From.GetTitledName]. The instigators of the plot were not revealed, however.;Il semble que la femme de chambre n'a pas réussi à tuer [From.GetTitledName]. L'identité des instigateurs du complot demeure inconnue, toutefois.;Es scheint, dass die Kammerzofe es nicht geschafft hat, [From.GetTitledName] zu töten. Die Auftraggeber des Anschlags aber bleiben unbekannt.;;Parece que la doncella no ha logrado matar a [From.GetTitledName]. De todos modos, los instigadores del complot no han sido revelados.;;;;;;;;;x
EVTOPTA_CM_6348;We will get [From.GetHerHim] next time.;Nous finirons par avoir sa peau.;Das nächste Mal kriegen wir [From.GetHerHim].;;La próxima vez [From.GetHerHim] atraparemos.;;;;;;;;;x
EVTDESC_CM_63499;It seems the servant failed to kill [From.GetTitledName]. To make things worse, he was caught and revealed who ordered the murder.;Il semble que la femme de chambre n'a pas réussi à tuer [From.GetTitledName]. Et pour ne rien arranger, elle a été arrêtée et a dévoilé le nom des conspirateurs.;Es scheint, dass die Kammerzofe es nicht geschafft hat, [From.GetTitledName] zu töten. Schlimmer noch, sie wurde gefasst und hat den Auftraggeber des Anschlags genannt.;;Parece que la doncella no ha logrado matar a [From.GetTitledName]. Para empeorar las cosas, la atraparon y reveló quién había ordenado el asesinato.;;;;;;;;;x
EVTOPTA_CM_63499;Curses!;Malédiction !;Verflucht!;;¡Maldición!;;;;;;;;;x
EVTDESC_CM_6350;My [Root.GetLordLady], an opportunity has arisen in your plot to rid yourself of [Root.PlotTarget.GetTitledName]. A travelling alchemist claims he can provide poisoned candies which could be smuggled in as a gift. How shall we proceed, my [Root.GetLordLady]?;Notre [Root.GetLordLady], sachez que l'opportunité de vous débarrasser de [Root.PlotTarget.GetTitledName] est sur le point de se présenter. Une sorcière vagabonde prétend pouvoir fabriquer des friandises empoisonnées que nous pourrions offrir à [Root.PlotTarget.GetLordLady]. Comment souhaitez-vous procéder, notre [Root.GetLordLady] ?;Mein(e) [Root.GetLordLady], es hat sich für Euren Plan, [Root.PlotTarget.GetTitledName] loszuwerden, eine Möglichkeit ergeben. Eine Wanderhexe behauptet, sie könne vergiftete Pralinen herstellen, die man als Geschenk einschmuggeln könnte. Wie sollen wir verfahren?;;Mi [Root.GetLordLady], en su complot ha surgido la oportunidad de acabar con [Root.PlotTarget.GetTitledName]. Una bruja viajera asegura que nos puede conseguir unos dulces envenenados que se podrían entrar de contrabando como si fuesen un obsequio. ¿Cómo vamos a proceder, mi [Root.GetLordLady]?;;;;;;;;;x
EVTOPTA_CM_6350;Hire the alchemist.;Engagez la sorcière.;Stellt die Hexe ein.;;Contratar a la bruja.;;;;;;;;;x
EVTOPTB_CM_6350;Give him extra resources.;Donnez-lui des ressources supplémentaires.;Stellt ihr alle Mittel zur Verfügung;;Darle más recursos.;;;;;;;;;x
EVTOPTC_CM_6350;We should wait.;Attendons encore un peu.;Wir sollten warten.;;Deberíamos esperar.;;;;;;;;;x
EVTDESC_CM_6351;It seems as though [From.GetTitledName] has found an opportunity to hire a alchemist who makes poisoned candies. This presents us with a chance to kill [From.PlotTarget.GetTitledName].;Il semble que [From.GetTitledName] a eu l'opportunité d'engager une sorcière capable de fabriquer des friandises empoisonnées, que nous pourrions offrir à [From.PlotTarget.GetTitledName].;Es scheint, dass [From.GetTitledName] eine Hexe aufgetan hat, die vergiftete Pralinen herstellen kann. Das gibt uns die Chance, [From.PlotTarget.GetTitledName] zu töten.;;Parece que [From.GetTitledName] ha encontrado la oportunidad de contratar a una bruja que hace dulces envenenados. Esto nos brinda la oportunidad de matar a [From.PlotTarget.GetTitledName].;;;;;;;;;x
EVTOPTA_CM_6351;Excellent!;Parfait !;Ausgezeichnet!;;¡Excelente!;;;;;;;;;x
EVTTITLE_CM_6353;The Bitter Candies;Aigres friandises;Die bitteren Pralinen;;Los Dulces Amargos;;;;;;;;;x
EVTDESC_CM_6353;It's boring to sit here, hidden away. You hardly get out at all, there is no room to run and play and hardly anyone comes to see you. Well, at least people send you gifts to cheer you up. These candies are really nice, though they do have a strange bitter aftertaste... very bitter...;Comme c'est ennuyeux de rester en permanence dans cette cachette ! Vous ne sortez quasiment jamais, il n'y a pas la place pour courir ou jouer et vous ne recevez quasiment pas de visite. Mais aujourd'hui, quelqu'un vous a envoyé un présent pour vous remonter le moral ! Ces bonbons sont délicieux, malgré un arrière-goût assez amer... Très amer...;Es ist langweilig, die ganze Zeit hier im Versteck zu hocken. Ihr kommt kaum raus, es gibt keinen Platz zum Rennen und Spielen und kaum jemand kommt Euch besuchen. Aber wenigstens schickt man Euch Geschenke, um Euch aufzuheitern. Diese Pralinen sind wirklich hübsch, obwohl sie einen eigenartigen Nachgeschmack haben... sehr bitter...;;Estar aquí escondido resulta muy aburrido. A penas puedes salir, no hay espacio para correr ni distraerse y prácticamente nadie viene a visitarte. Bueno, por lo menos te mandan regalos para animarte. Estos dulces son realmente buenos, aunque dejan un extraño regusto amargo... muy amargo...;;;;;;;;;x
EVTOPTA_CM_6353;Aaargh...;Aaargh...;Aaargh...;;Aaaah...;;;;;;;;;x
EVTDESC_CM_6354;News reach you that the plot to murder [From.GetTitledName] has met with success. Apparently, [From.GetTitledName] ate the poisoned candies that the alchemist sent to [From.GetHerHim]. The plotters behind it have not been revealed.;On vous apprend que le complot pour tuer [From.GetTitledName] a été un franc succès. Apparemment, [From.GetTitledName] a mangé des friandises empoisonnées que la sorcière lui a envoyées. L'identité des conspirateurs demeure inconnue.;Euch erreicht die Nachricht, dass Euer Plan, [From.GetTitledName] zu ermorden, erfolgreich war. Offenbar hat [From.GetTitledName] die vergifteten Pralinen gegessen, die die Hexe [From.GetHerHim] geschickt hat. Die Auftraggeber des Mordes sind unbekannt.;;Te llegan noticias de que el complot para matar a [From.GetTitledName] ha resultado exitoso. Al parecer, [From.GetTitledName] comió los dulces que la bruja [From.GetHerHim] envió. No se han revelado los nombres de los conspiradores. ;;;;;;;;;x
EVTOPTA_CM_6354;Excellent!;Parfait !;Ausgezeichnet!;;¡Excelente!;;;;;;;;;x
EVTDESC_CM_6356;News reach you that the plot to murder [From.GetTitledName] has met with success. Apparently, [From.GetTitledName] ate the poisoned candies that the alchemist sent to [From.GetHerHim]. Unfortunately, the alchemist was caught and revealed who ordered the murder.;On vous apprend que le complot pour tuer [From.GetTitledName] a été un franc succès. Apparemment, [From.GetTitledName] a mangé des friandises empoisonnées que la sorcière lui a envoyées. Malheureusement, la sorcière a été arrêtée et a dévoilé l'identité du commanditaire.;Euch erreicht die Nachricht, dass Euer Plan, [From.GetTitledName] zu ermorden, erfolgreich war. Offenbar hat [From.GetTitledName] die vergifteten Pralinen gegessen, die die Hexe [From.GetHerHim] geschickt hat. Bedauerlicherweise aber wurde die Hexe gefangen genommen und hat den Auftraggeber des Mordes genannt.;;Te llegan noticias de que el complot para matar a [From.GetTitledName] ha resultado exitoso. Al parecer, [From.GetTitledName] comió los dulces que la bruja [From.GetHerHim] envió. Desafortunadamente, arrestaron a la bruja y ésta reveló quién había dado la orden de matar.;;;;;;;;;x
EVTOPTA_CM_6356;I see.;C'est fâcheux…;Verstehe.;;Ya veo.;;;;;;;;;x
